du,v,ˈdu,to do,I apri tu du drugglez.,,
dukk,n,ˈdʌk,duck,I afi ce Dukk Song.,,
dukk,n,ˈdʌk,"Slang term for ""sunfle""; comparable to English ""buck""",I loaned yu seven dukks! Qwere dz cey bea?,,
dukk,vt,ˈdʌk,to create affection; to make love,Ce villagers bea dukking!,,
dukk,int,ˈdʌk,fuck,Dukk!,,
dutu,conj,ˈdutu,because,It dutu ov kauses beas.,,
duz,ptcl,ˈdʌz,interrogative particle - placed at the end of a statement and makes the statement into a yes/no question,This owosome beas duz?,,
dyu,contr,ˈdju,"fossilised contraction of ""dz yu"" - equivilant to English ""do you""",Dyu despise Jakob their bakalarachying?,,dzyu
dz,aux,dz|ts,interrogative auxiliary verb - placed after interrogative question words to form a question,Qwat dz this bea?,This is an interrogative grammatical particle that goes at the start of a sentence.|This particle is frequently contracted with surrounding words as the particle doesn't have its own vowel. (See dyu),d|duz
dzit,contr,ˈdzɪt,"contraction of ""dz it""",Dzit bea raining exter?,,
dzunt,contr,ˈdzʊnt,"contraction of ""does not""",It dzunt bea raining.,,dzeunt
e,exc,ˈi,hi; hello|yes (responding to call),0: Human!  1: E?,"Less formal than ""greeting""",
ekto,n,ˈɛktoʊ,ghost|phantom,,,
Elongatedmuskrat,n,ˈilɔngeɪtɪdmʌskɹæt,Elon Musk,Jakob praises Elongatedmuskrat.,,
embarrass,vt,ɪmˈbɛɹɪs,to embrace,Jakob embarasses bakalarachi religiously.,,
embassadeur,n,ɛmˈbæsədəɹ,someone who works at an embassy; ambassador,,,embassador
enbea,vi,ɪnˈbi,to exist,,,
enhealth,vt,ɪnˈhɛlθ,to complete|to create,,,
enkog,vt,ɪnˈkɔg,to commit to memory; to remember|to learn|to memorise,Yu shall reqwer tu enkog so for c test!,,
enkowiin,vt,ɪnkoʊˈwin,vaccinate,,,kowoyise
enkowiinment,n,ɪnkoʊˈwinmənt,vaccination,,,kowoyision
enkrat,n,ɪnˈkɹæt,promise,,,enrat
enkratify,vt,ɪnˈkɹætɪfaɪ,to promise,"Jakob enkratified tu unk koom during ce walk, howf cey nuked c enkrat.",,enratify
enskribe,vt,ɪnˈskɹaɪb,to write,I akratly enskribed a speech for this okkasion.,"Interchangeable with ""tuip"" but this word is usually used for more permanent and formal things.",
exit,vt,ˈɛgzɪt,to leave,,,
f,exc,ˈɛf,bye; goodbye,"Goodnuit, f!",Also used at funerals.,
faktory,n,ˈfæktəɹi,production facility|farm or factory,,,
fakture,vt,ˈfaktʃər,to make; to create,,,
fdukk,"n, int",ˈfdʌk|fə̆ˈdʌk,fedora,,,
fery,adv,fɛɹi,very; extremely,,,
fluftail,n,ˈflʌfteɪl,fox,,,
fooka,n,ˈfuka,fish,Billzo has a pet goldfooka.,,
fookalarachi,vi,fukalaˈɹatʃi,to fuck a fish,Jakob apris fookalarachying.,,
fynch,n,ˈfɪntʃ,four-year-old,Fynch a fynch beas.,,
fynchilarachieur,n,fɪntʃɪlaˈɹatʃiəɹ,paedophile,Liam has arrested c fynchilarachieur.,,
ganga-,px,gæŋga,Specifies the action to be done in a gang or group.,bakalarachi > gangabakalarachi,,
gangabakalarachi,vt,gæŋgabakalaˈɹatʃi,to duck a dog in a gang,Jakob zel Toby apri tu gangabakalarachi.,,
gar,n,ˈgɑɹ,protection,,,
gar,vt,ˈgɑɹ,to protect,,,
gooderise,vt,ˈgʊdəɹaɪz,to make better,That unk gooderises it!,,
goodful,adj,ˈgʊdfəl,good,That fery goodful beas.,,good
goodify,vt,ˈgʊdɪfaɪ,to make good,,,
goodly,adv,ˈgʊdli,well,I bea akting fery goodly.,,goodfully
grat,n,ˈgɹæt,gratitude; thankfulness,,,
grati,v,ˈgɹæti,to thank,,,
grati,int,ˈgɹæti|ˈgɹædi,thank you; thanks,Grati for thy soul!,,gratitude
greeting,exc,ˈgɹitiŋ,greetings|welcome,"Greeting, hyume.|Greetings, hyumes.","Formal; see ""e""|Suffix ""s"" for multiple listeners.",greet
griffin,n,ˈgrɪfɪn,griefing,,,
harka,n,ˈhɑɹka,class; status,Hyumes of c chambi harka have jambi oolah.,,
healthful,adj,ˈhɛlθfəl,healthy|good,,,
helldoor,n,ˈhɛldɔɹ,nether portal,,,
hellport,n,ˈhɛlpɔɹt,nether hub,,,
hot-,px,ˈhɔt,A prefix used before a term for a familial relation to mean that they are not a blood relative but is related through the marriage of a parent; step-,,Hoang is quite the linguist to have come up with this one.,
howf,conj,ˈhʌʊf,but,,,
hurt,n,həɹt,bread,I bea kalorising some hurt.,,
hyume,n,ˈhjum|ˈçjum,person|human,"Greetings, hyumes.",,
idd,n,ˈɪd,idea|meaning,Qwat idd dz cat have?,,
idot,n,ɪˈdɔt,idiot,Yu dukking idot!,,
ig,n,ˈɪg,fire,,,
insekt,n,ˈɪnsɛkt,(in computer science): glitch; bug,I have nuked c insekt that kaused c entire thing tu krash on startup.,,
interestful,adj,ˈɪntəɹɛstfəl,interested,,,
interestsome,adj,ˈɪntəɹɛstsəm,interesting,,,
interrogate,vt,ɪnˈtɛɹəgeɪt,to ask,"Ak, I shall interrogate you postkurr then.",,
iung,contr,ˈyŋ|ˈaɪŋ|ˈɛŋ,"contraction of ""I ung"" - I don't",,,
j,ptcl,dʒ,"past tense interrogative particle - see ""dz""",,,
jakob,n,ˈdʒeɪkəb,murderer,That hyume a konvicted jakob beas.,,
jakobise,vt,ˈdʒeɪkəbaɪz,to kill or murder in cold blood,Jakob jakobised Toby.,"Contrast with ""murderise""",
jakobisement,n,ˈdʒeɪkəbaɪzmənt,cold blooded murder,Jakob kommitted several jakobisements today.,"Contrast with ""murderism""",jakobision
jasp,vt,ˈdʒæsp,to judge,Wi jaspmentful unk bea hir.|Unk jasp me!,,
jaspeur,n,ˈdʒæspər,judge,Jasper has beed elekted as ce jaspeur!,,
ka,adj,ˈka,living; alive,,,
kakamalaka,n,kakamaˈlaka,garbage,Jakob apris tu kakamalakalarachi.,,
kalorise,vt,ˈkæləraɪz,to eat,I wishtu kalorise a cheezburqer.,,
karbohydrate,n,kaɹboʊˈhaɪdʒɹeɪt,crab,Mister Karbs chambi afis oolah.,,karb
kinema,n,ˈkɪnəma,movie,,,
kinematorium,n,kɪnəməˈtɔɹiəm,movie theatre; cinema,,,
kog,vt,ˈkɔg,to know,,,kognise
koggeur,n,ˈkɔgəɹ,brain,,,
komfortsome,adj,ˈkʌmfəɹtsəm,comforting,,,
komprend,vt,kəmˈpɹɛnd,to understand; to comprehend,,,
konfuzzle,vt,kənˈfʌzəl,to confuse,,,
konstrukt,n,ˈkɔnstʃɹʌkt,building; structure,,,
konstrukt,vt,kənˈstʃɹʌkt,to build,,,
koom,vi,ˈkum,to cum,"Depsomely, Jakob koomed on Liam ceir bakk.",I blame Hoang for this word existing.,
korrekt,adj,kəˈɹɛkt,correct,,"Obselete|""Akrat"" is preferred to this word in every context.",
kowiin,n,koʊˈwin,vaccine,,"Vaccine is from the Latin word for ""cow"" so kowiin is from the Billzonian word ""kowo""",kowoy
kowo,n,ˈkoʊwoʊ,cow|cattle,Jakob apris tu zel Toby kowolarachi.,,
krat,adj,ˈkɹæt,real; actual|true|non-fiction,Cis a krat story beas!,,
krim,adj,ˈkɹɪm,red,,,
kurr,n,ˈkɜɹ,now,,,
kurrly,adv,ˈkɜɹli,now; currently,,,kurly
kurrsun,n,ˈkɜɹsʌn|ˈkɜɹsən,today,,,
kutlerise,vt,ˈkʌtləɹaɪz,to perform a fork or double-attack maneuver in chess,I shall kutlerise cy qween zel rook.,,
kutlery,n,ˈkʌtləɹi,a fork or double-attack maneuver in chess,This a kutlery trap beas.,,
larachi,vt,laˈɹatʃi,to fuck,Jakob Liam their baka larachied prevsun.,This verb follows SOV word order rather than SVO as this word is a reanalysed word suffix. (e.g: Jakob Liam's dog fucked.),
likadooma,n,likaˈduma,scrumptious duck,,Obselete,
loaf,n,ˈloʊf,love,Loaf breadsome beas.,,lofe
magmakube,n,ˈmægmakjub,female dog,,Obselete,
maliceful,adj,ˈmæˌlɪsˌfəl,malicious; evil|unfortunate,That quite maliceful beed.,,malitssful
manufakture,vi,mænjuˈfæktʃər,to create|to procreate,I bea manufakturing miskonseptions!|C villagers bea manufakturing.,From CheezSurv,
mekh,n,ˈmɛk,machine|device|mechanism,Voici my nuklear baka mekh.,,
Minecraft,n,ˈmaɪnˌkɹæft,Colonialism and War Crimes Simulator 2009,,,
miniooka,n,mɪniˈuka,"son, daughter, child",,,
misvikt,vt,mɪsˈvɪkt,to fail to win,I misvikted!,A draw or stalemate also counts as a misviktorision.,malviktorise|misviktorise
muis,n,ˈmwis,mouse,,,
murderise,vt,ˈmərˌdəɹˌaɪz,to kill|to commit retaliatory murder,We bea plotting to murderise Jakob.,"Contrast with ""jakobise""",
murderism,vt,ˈmərˌdəɹˌɪzm,murder,Several murderisms happened hir.,,
nab,vt,ˈnæb,to abduct,,,
neuri,vt,ˈnʊɹi|ˈnjʊɹi,to think; to think about,"Quat dzyu neuri ov my plan?|I neuri you. Ha just kidding, qwat dz sentiments bea?",,
nov,adj,ˈnɔv,new,,,novel|novelle
nuke,vt,nuk,to kill; to execute|to defenestrate|to obliterate; to destroy|to delete|to remove,I shall have yu nuked for this aktion ov treason.|I nuked a kritikal insekt.,,
nukeful,adj,ˈnukˌfəl,destructive|explosive|nuclear,,,
nukifikation,n,nukɪfɪˈkeɪˌʃən,destruction|explosion,,,
o,int,ˈoʊ,oh,,,
oeuf,int,œf,oof,,,œuf
oktobug,n,ˈɔktoʊbʌg,spider,,,
omnilarachieur,n,ɔmnilaˈɹatʃiər,one who fucks everything,,,
omnitime,n,ˈɔmnitaɪm,always,I omnitime akrat bea.,,
ooka,n,ˈuka,family member,,,
ookalarachi,n,ukalaˈɹatʃi,incest,,,
oolah,n,ˈula,money|pyrite,Qive me reg thy oolah.|C oolah mines.,,moolah
oolahism,n,ˈulahɪzəm,capitalism,,,
oollo,int,ulu,oh no,,Obselete,
ouuo,int,ˈoʊwoʊ,owo,,,
owo,vi,ˈoʊwoʊ,to be glad,I owo dutu so.,,
owoful,adj,ˈoʊwoʊfəl,happy|glad,,,
owosome,adj,ˈoʊwoʊsəm,inducing of owo|good,This owosome beas.,,
pace,vi,ˈpeɪs,to walk,,,peiss
paka,n,ˈpaka,pig,Fynch had an oolahist paka as an apriaka.,,
pakaume,n,paˈkaʊm,police|police officer|pigman,,,
politikal,adj,pəˈlɪtɪkəl,deceptive,,,
politikeur,n,pəˈlɪtɪkər,professional liar,,,polititian
politikise,vt,pəˈlɪtəkaɪz,to lie (about),,,politisise
pronouncement,n,pɹəˈnaʊntsmənt,pronunciation,That an unkrat pronouncement beas!,,
qwat,det,ˈkwʌt,what,Qwat beas up?,,quat
qwen,det,ˈkwɛn,when,,,quen
qwere,det,ˈkwɛəɹ,where,Qwere dz this bea?|Qwere dz yu bea?,,quere
qwite c thing,adj,ˈkwʌɪt ˈðə ˈθiŋ,good|bad|extreme,,"Difficult to translate - is usually a positive statement, but can be used in more neutral or negative ways.|Often used in a non-commital response to a statement.",qwite ce cing
qwo,det,ˈkwoʊ|ˈkwu,who,Qwo dz yu bea?,,quo
qwy,det,ˈkwaɪ,why,Qwy dz wi unk?,,quy
rat,adj,ˈɹæt,valid|permitted; allowed|legal; lawful|judicial|real,Akting so rat unk beas.,,
rat,n,ˈɹæt,the law|justice,I rat ak bea!,,
rat,int,ˈɹæt,"Alt form of ""ak""","Rat, ak.",Obselete in Standard Billzonian,ak
ratbox,n,ˈɹætbɔks,jail|prison,,,
rathouse,n,ˈræthʌʊs,courthouse,,,
ratify,vt,ˈɹætɪfaɪ,to ratify; to make valid|to consent to; to permit|to pass (legislation)|to allow,Ce baka qwich Jakob beas larachying unk ratified so.,,
ration,n,ˈɹæʃən,trial in a court of law,They beed exekuted ungwith ration.,,
ratness,n,ˈrætnɪs,validity|consent; permission,Yu unk have my ratness tu akt so.,,
reanimatedkorpse,n,ɹiˈænɪmeɪtɪdkɔɹps,zombie,,Obselete,
refun,vi,ɹiˈfun,to laugh,,,
reg,det,ˈɹɛg,all; every,,,
reghyume,pro,ˈɹɛghjum,everyone; everybody,,,
rekog,vt,ɹiˈkɔg|ɹəˈkɔg,to recall; to remember|to recognise,,,
rerotate,vi,ɹiˈroʊteɪt,to return; to come back,I have rerotated!,,
salut,int,ˈsælɪt|ˌsaˈly,hi,,"Suffix ""s"" for multiple listeners.",
salutation,n,sæljuˈteɪʃən,salutations|salute,,"Suffix ""s"" for multiple listeners.",salut
seathievery,n,ˈsiθivəɹi,piracy,I seathieve *The Office* dutu iung have Netflix.,,
shoobka,n,ˈʃubka,parent,,,booshka
shooka,n,ˈʃuka,father,,,
shookalarachi,vi,ʃukalaˈɹatʃi,to do one's father,,,
sim,prep,ˈsɪm,similar to; like,"View, it beas akted sim so.",,
skam,n,ˈskæm,scam|deception; deceit,Politikkeurs fery proficient in skams bea.,,
skam,vt,ˈskæm,to scam|to deceive,I've beed skammed!,,
skog,vt,ˈskɔg,to think (about); to consider; to ponder,,,
so,pro,ˈsoʊ,demonstrative pronoun: this; that,Iung kogged so.,"Comparable to this and that, but can only be used as the object and not the subject of a clause.",
speechise,vt,ˈspitʃaɪz,to speak,,,
sqwander,vt,ˈskwɑndəɹ,to waste,,,
sun,n,ˈsʌn,day,It seven suns has beed.,,
sunfle,n,ˈsʌnfəl,coin|generic word for any currency unit,,,sunf|sunflower
suspise,vt,sʌsˈpaɪz,to suspect,,,suwaspise
suspisionful,adj,sʌsˈpɪʒənfəl,suspicious of,,,susaspisionful
suspisionsome,adj,sʌsˈpɪʒənsəm,suspicious; sus,,,suspisionous|suspisious|suwasome
suwa,adj,ˈsʌwʌ|ˈsʌwa|ˈsawa,sus; sussy,Jakob a sawa baka beas zel apris tu c bakas larachi.,,sawa
suwaise,vt,ˈsʌwaɪz,to make suspicious,,,
terv,conj,ˈtɜɹv,or,,,
their,det,ˈðɛəɹ,"of them; his, her, their","Their boka voked ""meow"" tu me.",,
theirs,pro,ˈðɛəɹz,"that of them; his, hers, theirs",That baka Jakob theirs unk beas.,,
them,pro,ˈðɛm,"epicene third person pronoun; him, her, them",Jakob despises bakas zel themself.,,
therf,conj,ˈðɛəɹf|ˈðəɹf,so|therefore,,,
they,pro,ˈðeɪ,"epicene third person pronoun; he, she, they",They attempted tu apprehend Jakob c bakalarachieur.,,
thievery,n,ˈθivəɹi,stealing|robbery,This a thievery beas.,,
thine,pro,ˈðaɪn,yours,"This baka beas thine duz, Jakob?",,
tho,adv,ˈðoʊ,though,,,
thy,det,ˈðaɪ,your,Thy baka beed nabbed by Jakob!,,
transdiktion,n,tʃɹænzˈdɪkˌʃən,translation,,,
translokate,vt,tʃɹænzˈloʊˌkeɪt,to teleport|to move|to transport,,,
traumi,vt,ˈtʃrɔmi|ˈtʃrʌʊmi,to scare|to traumatise,,,
treason,n,ˈtʃɹizən,betrayal|betrayal of society; crime,,,
treasonise,vt,ˈtʃɹizənaɪz,to betray|to commit a crime,,,
treasoniseur,n,ˈtʃɹizənaɪzəɹ,traitor|criminal,,,
tw,num,ˈtu,two,,,
twein,n,ˈtweɪn,half,,,twain
twine,n,ˈtwaɪn,connection,,,
twine,vt,ˈtwaɪn,to connect|to pair|to tie,,,
twise,vt,ˈtwaɪz,to duplicate|to multiply by two; to double,,,
twixt,n,ˈtwɪkst,pair; duo|two|duet,,,
type,vt,ˈtʌɪp,to write|to type,I typed a note for you.|Jakob typed a song about their passion for bakalarachi.,"Interchangeable with ""enskribe"" in most contexts but this word is usually used for more casual things than ""enskribe.""",tuip
tyran,n,ˈtaɪɹən,local or municipal military government or occupation force,,,
ukiluki,vi,ukiˈluki,to have a long spasm,,,
un,adj,ˈʌn,not having traits of ness,Cat fery un beas.,,
un-,px,ʌn,This prefix negates any regular adjective.,,e.g: ungoodful = not good,
unenabled,adj,ʌnenˈeɪbəld,disabled,Streamer mode kurrly unenabled beas.,,
ung,adv,ˈʌŋ,without|nothing|none|zero|not,"Three, tw, wun, ung!|Hir has ung.","Derived from ""unk""",
ungful,adj,ˈʌŋfəl,empty|void,,,
ungoodful,adj,ʌnˈgʊdˌfəl,bad,,"See ""goodful""",
ungoodly,adv,ʌnˈgʊdˌli,unwell|badly,,"See ""goodly""",
unk,ptcl,ˈʌŋk,no,"Unk, iung shall assist yu.",Antonym: ak,unkrat|unc
unkog,vt,ʌŋˈkɔg,to forget,,,
unkrat,adj,ˈʌŋkɹæt,incorrect; inaccurate|false|fake; fictitious; fictional|inauthentic; forged|artificial|void,Affektion unkrat beas.,"Antonym: akrat, krat",
unkratoolah,n,ʌnkræˈtula,counterfeit,,,
unrat,adj,ˈʌnɹæt|ʌnˈɹæt,invalid|illegal; not allowed,Unrat arg provided!|Yu should kog cat jakobisement unrat beas.,,
unratify,vt,ʌnˈɹætɪfaɪ,to illegalise; to outlaw,Billzo attempted tu unratify affektion.,,
unsmart,adj,ʌnˈsmɑɹt,stupid,,,
unsmart,n,ʌnˈsmɑɹt,a stupid action or thing,I akted an unsmart.,,
untwine,vt,ʌnˈtwaɪn,to disconnect|to separate|to untie,,,
urb,n,ˈɜɹb,city,,,
utilious,adj,juˈtɪlijɪs,useful,,,
uuouu,int,waʊ,wow,,,
uuuu,int,ˈuwu,uwu,,,
valueful,adj,ˈvæljufəl,valuable,,Obselete,
vandalise,vt,ˈvændəlaɪz,to draw; to illustrate|to annotate,I vandalised my something.,,
vandalism,n,ˈvændəlɪzm,art|drawing; illustration,I manufaktured some vandalism! Quat dzyu neuri ov it?,,
view,vt,ˈvju,to see,,,
vikt,vt,ˈvɪkt,to win,I vikted!,,viktorise
vikteur,n,ˈvɪktəɹ,winner; victor,,,
viktion,n,ˈvɪkʃən,victory,,,
villager employment,n,ˈvɪlɪdʒəɹ ɪmˈplɔɪmənt,slavery,,,
visu,vt,ˈvizu|ˈvɪʒu,to see,Iung visu any rasetrakk hir.,Obselete,
voke,vt,ˈvoʊk,to say,,,
vroomeur,n,ˈvɹumər,car,Hoang qwikkly kollekted their baka zel ran tu their vroomeur tu evade Jakob qwo seemed tu bea kraving some bakalarachi.,,
wallahi,n,waˈlahi,bruh moment,,,
wambi,n,ˈwambi,chicken,Jakob apris tu wambilarachi.,,
wanna,vt,ˈwɑnə,to want to,,"Interchangeable with ""wishtu""",
wishtu,vt,ˈwiʃtu,to want to,,"Interchangeable with ""wanna""",
wonderfulness,n,ˈwʌndəɹfəlnɪs,wonder,,,
worm,v,ˈwɜɹm,to annoy; to bother|to attack,,,
wun,num,ˈwʌn,one,,,
wunts,adv,ˈwʌnts,once,,,
youtub,n,ˈjutʌb,YouTube,,,
yu,pro,ˈju,you,,,
yukkful,adj,ˈjʌkfəl,of or relating to Minecraft Bedrock Edition,Cat fery yukk beas.,,yukk|yukksome
yumsome,adj,ˈjʌmsəm,yummy; delicious; good tasting,,,
zel,adv,ˈzɛl,as well|also,,,
zel,conj,ˈzɛl,and,,,aswel|azle|zwel
zel,prep,ˈzɛl,with,Dzyu wishtu zel us kome?,,
,adj,∅,having traits of ness,,,-
